times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1577836800;1577858400;1577880000;11.55365372;10.72384357;10.03287411;3.998504639;7.580711365;10.00242424;12.22599499;13.13270748;14.16711169
1577840400;1577862000;1577883600;11.7767477;10.40186501;10.29253864;4.4115448;7.963317871;9.311933517;12.57591007;13.10012317;13.87978593
1577844000;1577865600;1577887200;12.36086655;9.586174965;11.18039608;4.312981606;8.903474808;8.71031189;13.09170853;13.08306593;14.17288925
1577847600;1577869200;1577890800;12.01222324;9.29839325;10.50660515;4.244821548;10.18377781;9.085372925;12.74017336;13.79019389;13.8900235
1577851200;1577872800;1577894400;11.36912823;10.25861073;10.0854063;5.299188614;9.404663086;8.962753296;12.5434635;13.91713986;13.49245593
1577854800;1577876400;1577898000;11.2908392;11.25692654;10.77301121;7.000904083;8.696472168;8.94389534;13.28516871;14.2248734;14.00182254
1577858400;1577880000;1577901600;9.989345551;10.4549284;9.586662292;6.24799633;10.10164356;9.462753296;11.78238018;14.53783789;13.47025589
1577862000;1577883600;1577905200;9.833518028;10.32923317;9.337285995;7.353942871;9.813812256;10.02041626;12.27919185;14.24794613;13.69648319
1577865600;1577887200;1577908800;9.350477219;10.63767242;8.324865341;8.912399292;9.465927124;11.11936951;12.91751855;14.23951723;13.89041976
1577869200;1577890800;1577912400;9.609387398;10.32167912;8.166949272;9.948225975;9.674331665;12.06500244;13.83139639;14.14672234;14.56926025
1577872800;1577894400;1577916000;10.08325958;10.62864876;8.657195091;9.883529663;9.596298218;12.48529053;14.11935843;14.31981543;15.19307429
1577876400;1577898000;1577919600;10.41791344;10.11798286;8.713694572;9.959244728;9.3568573;12.94804382;14.4124764;13.78130457;15.60705968
1577880000;1577901600;1577923200;9.213074684;10.07094955;8.422139168;8.263674736;9.767807007;13.06867981;12.37614905;14.0297569;15.54743774
1577883600;1577905200;1577926800;9.925018311;9.958169937;8.665512085;8.717803955;10.46020508;12.85063171;13.21007548;14.44233495;15.49934951
1577887200;1577908800;1577930400;10.43322468;8.926197052;9.45526123;8.883560181;11.46437073;12.16204834;13.70291278;14.52958327;15.40510905
1577890800;1577912400;1577934000;10.14211369;8.65326786;9.960876465;9.43397522;12.29754639;12.13021851;13.85143886;15.03691098;15.69589949
1577894400;1577916000;1577937600;10.3542614;8.395266533;10.39193439;9.183349609;12.46647644;12.18009949;13.83996529;15.02975499;16.01084395
1577898000;1577919600;1577941200;10.74345112;9.172273636;10.35706806;8.722290039;12.78866577;12.15907288;13.83835559;15.73787075;15.97222314
1577901600;1577923200;1577944800;9.486364365;7.03817749;10.279953;8.548919678;13.36729431;12.05360413;12.77008757;15.10696858;15.8419319
1577905200;1577926800;1577948400;9.610719681;8.578577995;9.819137573;10.41220093;12.87776184;12.00819397;14.16968105;15.4734854;15.51167899
1577908800;1577930400;1577952000;9.12556839;9.308549881;10.48220825;11.59611511;12.85882568;12.18928528;14.7562151;15.87446058;16.07654706
1577912400;1577934000;1577955600;8.852240562;9.937393188;10.13568115;11.79710388;12.39657593;12.53816223;14.74902787;15.88794757;16.12257872
1577916000;1577937600;1577959200;9.111398697;10.48046875;9.773239136;11.97738647;12.22912598;12.97195435;15.04909874;16.10564334;16.24154558
