times1_sh;times1_mh;times1_lh;times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;;;;;;;;;;;;;;;;;;
1577836800;1577858400;1577880000;11.55365372;10.72384357;10.03287411;3.998504639;7.580711365;10.00242424;12.22599499;13.13270748;14.16711169;12.22599499;12.28431417;12.34263335;12.40095253;12.45927171;12.51759089;12.22599499;15.54469204;12.43575363;12.41879412;12.40183462;12.38487511;12.3679156;12.35095609;12.43575363;12.9;0.464246368;0.674005007;12.22599499;1.652084609
1577840400;1577862000;1577883600;11.7767477;10.40186501;10.29253864;4.4115448;7.963317871;9.311933517;12.57591007;13.10012317;13.87978593;12.57591007;12.66187648;12.74784289;12.8338093;12.91977571;13.00574212;12.28431417;15.41749573;12.33399658;12.23782069;12.1416448;12.0454689;11.94929301;11.85311712;12.41879412;12.9;0.481205876;0.615685828;12.28431417;1.598430964
1577844000;1577865600;1577887200;12.36086655;9.586174965;11.18039608;4.312981606;8.903474808;8.71031189;13.09170853;13.08306593;14.17288925;13.09170853;13.03311933;12.97453014;12.91594094;12.85735175;12.79876255;12.34263335;14.69617653;11.75694122;11.69612618;11.63531113;11.57449608;11.51368103;11.45286598;12.40183462;12.4;-0.001834616;0.05736665;12.34263335;1.044777318
1577847600;1577869200;1577890800;12.01222324;9.29839325;10.50660515;4.244821548;10.18377781;9.085372925;12.74017336;13.79019389;13.8900235;12.74017336;12.70738838;12.67460341;12.64181843;12.60903345;12.57624848;12.40095253;14.24006367;11.39205094;11.47247111;11.55289129;11.63331146;11.71373164;11.79415182;12.38487511;12.9;0.515124892;0.499047471;12.40095253;1.491123672
1577851200;1577872800;1577894400;11.36912823;10.25861073;10.0854063;5.299188614;9.404663086;8.962753296;12.5434635;13.91713986;13.49245593;12.5434635;12.66708104;12.79069857;12.91431611;13.03793364;13.16155118;12.45927171;14.84321499;11.87457199;11.93068606;11.98680013;12.0429142;12.09902827;12.15514234;12.3679156;12.8;0.4320844;0.340728292;12.45927171;1.337470027
1577854800;1577876400;1577898000;11.2908392;11.25692654;10.77301121;7.000904083;8.696472168;8.94389534;13.28516871;14.2248734;14.00182254;13.28516871;13.03470396;12.7842392;12.53377445;12.28330969;12.03284493;12.51759089;15.26407051;12.21125641;12.2101579;12.2090594;12.20796089;12.20686239;12.20576388;12.35095609;11.8;-0.550956092;-0.717590887;12.51759089;0.283816381
1577858400;1577880000;1577901600;9.989345551;10.4549284;9.586662292;6.24799633;10.10164356;9.462753296;11.78238018;14.53783789;13.47025589;11.78238018;11.86518212;11.94798407;12.03078602;12.11358796;12.19638991;12.57591007;15.25583172;12.20466538;12.20035629;12.19604721;12.19173813;12.18742905;12.18311996;12.33399658;12;-0.333996584;-0.575910066;12.57591007;0.430162736
1577862000;1577883600;1577905200;9.833518028;10.32923317;9.337285995;7.353942871;9.813812256;10.02041626;12.27919185;14.24794613;13.69648319;12.27919185;12.38557963;12.49196742;12.5983552;12.70474298;12.81113076;12.66187648;15.2235136;12.17881088;12.17646306;12.17411524;12.17176742;12.16941961;12.16707179;12.23782069;12.8;0.562179309;0.138123524;12.66187648;1.151073638
1577865600;1577887200;1577908800;9.350477219;10.63767242;8.324865341;8.912399292;9.465927124;11.11936951;12.91751854;14.23951723;13.89041976;12.91751854;13.06983152;13.22214449;13.37445747;13.52677044;13.67908342;12.74784289;15.20590496;12.16472397;12.25913366;12.35354334;12.44795303;12.54236272;12.63677241;12.1416448;12.7;0.558355203;-0.047842886;12.74784289;0.971984541
1577869200;1577890800;1577912400;9.609387398;10.32167912;8.166949272;9.948225975;9.674331665;12.06500244;13.83139639;14.14672234;14.56926025;13.83139639;13.87939007;13.92738374;13.97537741;14.02337108;14.07136476;12.8338093;15.91397762;12.7311821;12.74810549;12.76502889;12.78195228;12.79887568;12.81579908;12.0454689;13;0.954531096;0.166190704;12.8338093;1.192895444
